location,week,mort
BE213,2022-W39,87
BE213,2022-W40,109
BE213,2022-W41,91
BE213,2022-W42,84
BE213,2022-W43,81
BE213,2022-W44,79
BE213,2022-W45,99
BE213,2022-W46,74
BE213,2022-W47,89
BE213,2022-W48,82
BE213,2022-W49,106
BE213,2022-W50,100
BE213,2022-W51,141
BE213,2022-W52,119
BE213,2023-W01,113
BE213,2023-W02,107
BE213,2023-W03,93
BE213,2023-W04,78
BE213,2023-W05,91
BE213,2023-W06,86
BE213,2023-W07,91
BE213,2023-W08,93
BE213,2023-W09,92
BE213,2023-W10,100
BE213,2023-W11,92
BE213,2023-W12,86
BE213,2023-W13,105
BE213,2023-W14,75
BE213,2023-W15,96
BE213,2023-W16,86
BE213,2023-W17,70
BE213,2023-W18,73
BE213,2023-W19,89
BE213,2023-W20,84
BE213,2023-W21,65
BE213,2023-W22,85
BE213,2023-W23,65
BE213,2023-W24,92
BE213,2023-W25,79
BE213,2023-W26,80
BE213,2023-W27,67
BE213,2023-W28,83
BE213,2023-W29,65
BE213,2023-W30,71
BE213,2023-W31,69
BE213,2023-W32,71
BE213,2023-W33,72
BE213,2023-W34,74
BE213,2023-W35,71
BE213,2023-W36,72
BE213,2023-W37,79
BE213,2023-W38,72
BE213,2023-W39,76
BE213,2023-W40,81
BE213,2023-W41,81
BE213,2023-W42,84
BE213,2023-W43,78
BE213,2023-W44,90
BE213,2023-W45,92
BE213,2023-W46,83
BE213,2023-W47,93
BE213,2023-W48,100
BE213,2023-W49,90
BE213,2023-W50,96
BE213,2023-W51,75
BE213,2023-W52,89
BE213,2024-W01,90
BE213,2024-W02,89
BE213,2024-W03,99
BE213,2024-W04,110
BE213,2024-W05,109
BE213,2024-W06,116
BE213,2024-W07,99
BE213,2024-W08,74
BE213,2024-W09,88
BE213,2024-W10,92
BE213,2024-W11,80
BE213,2024-W12,94
BE213,2024-W13,81
BE213,2024-W14,76
BE213,2024-W15,85
BE213,2024-W16,66
BE213,2024-W17,77
BE213,2024-W18,92
BE213,2024-W19,66
BE213,2024-W20,70
BE213,2024-W21,60
BE213,2024-W22,89
BE213,2024-W23,80
BE213,2024-W24,71
BE213,2024-W25,65
BE213,2024-W26,81
BE213,2024-W27,80
BE213,2024-W28,82
BE213,2024-W29,97
BE213,2024-W30,91
BE213,2024-W31,79
BE213,2024-W32,79
BE213,2024-W33,80
BE213,2024-W34,68
BE213,2024-W35,67
BE213,2024-W36,80
BE213,2024-W37,89
BE213,2024-W38,67
BE213,2024-W39,97
BE213,2024-W40,102
BE213,2024-W41,83
BE213,2024-W42,81
BE213,2024-W43,97
BE213,2024-W44,77
BE213,2024-W45,65
BE213,2024-W46,83
BE213,2024-W47,85
BE213,2024-W48,87
BE213,2024-W49,84
BE213,2024-W50,84
BE213,2024-W51,84
BE213,2024-W52,75
BE223,2022-W01,51
BE223,2022-W02,27
BE223,2022-W03,48
BE223,2022-W04,53
BE223,2022-W05,40
BE223,2022-W06,44
BE223,2022-W07,47
BE223,2022-W08,48
BE223,2022-W09,48
BE223,2022-W10,36
BE223,2022-W11,51
BE223,2022-W12,51
BE223,2022-W13,47
BE223,2022-W14,39
BE223,2022-W15,39
BE223,2022-W16,44
BE223,2022-W17,43
BE223,2022-W18,53
BE223,2022-W19,30
BE223,2022-W20,50
BE223,2022-W21,41
BE223,2022-W22,36
BE223,2022-W23,43
BE223,2022-W24,33
BE223,2022-W25,27
BE223,2022-W26,36
BE223,2022-W27,36
BE223,2022-W28,37
BE223,2022-W29,37
BE223,2022-W30,38
BE223,2022-W31,40
BE223,2022-W32,40
BE223,2022-W33,38
BE223,2022-W34,37
BE223,2022-W35,43
BE223,2022-W36,46
BE223,2022-W37,37
BE223,2022-W38,30
BE223,2022-W39,46
BE223,2022-W40,33
BE223,2022-W41,48
BE223,2022-W42,28
BE223,2022-W43,37
BE223,2022-W44,42
BE223,2022-W45,36
BE223,2022-W46,43
BE223,2022-W47,40
BE223,2022-W48,54
BE223,2022-W49,45
BE223,2022-W50,37
BE223,2022-W51,50
BE223,2022-W52,46
BE223,2023-W01,36
BE223,2023-W02,45
BE223,2023-W03,36
BE223,2023-W04,37
BE223,2023-W05,43
BE223,2023-W06,39
BE223,2023-W07,30
BE223,2023-W08,43
BE223,2023-W09,48
BE223,2023-W10,44
BE223,2023-W11,52
BE223,2023-W12,42
BE223,2023-W13,27
BE223,2023-W14,42
BE223,2023-W15,43
BE223,2023-W16,33
BE223,2023-W17,32
BE223,2023-W18,35
BE223,2023-W19,28
BE223,2023-W20,36
BE223,2023-W21,42
BE223,2023-W22,38
BE223,2023-W23,32
BE223,2023-W24,29
BE223,2023-W25,34
BE223,2023-W26,31
BE223,2023-W27,32
BE223,2023-W28,39
BE223,2023-W29,32
BE223,2023-W30,34
BE223,2023-W31,33
BE223,2023-W32,26
BE223,2023-W33,43
BE223,2023-W34,33
BE223,2023-W35,23
BE223,2023-W36,27
BE223,2023-W37,47
BE223,2023-W38,30
BE223,2023-W39,46
BE223,2023-W40,27
BE223,2023-W41,32
BE223,2023-W42,27
BE223,2023-W43,40
BE223,2023-W44,51
BE223,2023-W45,37
BE223,2023-W46,47
BE223,2023-W47,40
BE223,2023-W48,44
BE223,2023-W49,37
BE223,2023-W50,54
BE223,2023-W51,39
BE223,2023-W52,39
BE223,2024-W01,31
BE223,2024-W02,40
BE223,2024-W03,46
BE223,2024-W04,42
BE223,2024-W05,41
BE223,2024-W06,44
BE223,2024-W07,49
BE223,2024-W08,52
BE223,2024-W09,42
BE223,2024-W10,49
BE223,2024-W11,37
BE223,2024-W12,39
BE223,2024-W13,46
BE223,2024-W14,36
BE223,2024-W15,49
BE223,2024-W16,33
BE223,2024-W17,35
BE223,2024-W18,45
BE223,2024-W19,36
BE223,2024-W20,28
BE223,2024-W21,31
BE223,2024-W22,34
BE223,2024-W23,20
BE223,2024-W24,40
BE223,2024-W25,30
BE223,2024-W26,34
BE223,2024-W27,38
BE223,2024-W28,34
BE223,2024-W29,38
BE223,2024-W30,35
BE223,2024-W31,44
BE223,2024-W32,37
BE223,2024-W33,29
BE223,2024-W34,26
BE223,2024-W35,37
BE223,2024-W36,37
BE223,2024-W37,30
BE223,2024-W38,30
BE223,2024-W39,40
BE223,2024-W40,41
BE223,2024-W41,28
BE223,2024-W42,52
BE223,2024-W43,46
BE223,2024-W44,34
BE223,2024-W45,42
BE223,2024-W46,50
BE223,2024-W47,54
BE223,2024-W48,34
BE223,2024-W49,42
BE223,2024-W50,43
BE223,2024-W51,40
BE223,2024-W52,49
BE224,2022-W01,85
BE224,2022-W02,87
BE224,2022-W03,84
BE224,2022-W04,80
BE224,2022-W05,70
BE224,2022-W06,100
BE224,2022-W07,102
BE224,2022-W08,93
BE224,2022-W09,82
BE224,2022-W10,76
BE224,2022-W11,84
BE224,2022-W12,86
BE224,2022-W13,105
BE224,2022-W14,87
BE224,2022-W15,85
BE224,2022-W16,108
BE224,2022-W17,87
BE224,2022-W18,86
BE224,2022-W19,83
BE224,2022-W20,85
BE224,2022-W21,84
BE224,2022-W22,71
BE224,2022-W23,65
BE224,2022-W24,83
BE224,2022-W25,73
BE224,2022-W26,94
BE224,2022-W27,70
BE224,2022-W28,76
BE224,2022-W29,73
BE224,2022-W30,66
BE224,2022-W31,80
BE224,2022-W32,78
BE224,2022-W33,72
BE224,2022-W34,72
BE224,2022-W35,76
BE224,2022-W36,70
BE224,2022-W37,79
BE224,2022-W38,83
BE224,2022-W39,79
BE224,2022-W40,79
BE224,2022-W41,77
BE224,2022-W42,70
BE224,2022-W43,76
BE224,2022-W44,63
BE224,2022-W45,74
BE224,2022-W46,76
BE224,2022-W47,79
BE224,2022-W48,77
BE224,2022-W49,97
BE224,2022-W50,107
BE224,2022-W51,122
BE224,2022-W52,103
BE224,2023-W01,91
BE224,2023-W02,101
BE224,2023-W03,84
BE224,2023-W04,85
BE224,2023-W05,69
BE224,2023-W06,87
BE224,2023-W07,95
BE224,2023-W08,92
BE224,2023-W09,82
BE224,2023-W10,90
BE224,2023-W11,68
BE224,2023-W12,73
BE224,2023-W13,70
BE224,2023-W14,87
BE224,2023-W15,72
BE224,2023-W16,74
BE224,2023-W17,72
BE224,2023-W18,87
BE224,2023-W19,78
BE224,2023-W20,62
BE224,2023-W21,72
BE224,2023-W22,73
BE224,2023-W23,83
BE224,2023-W24,79
BE224,2023-W25,52
BE224,2023-W26,66
BE224,2023-W27,73
BE224,2023-W28,62
BE224,2023-W29,71
BE224,2023-W30,71
BE224,2023-W31,66
BE224,2023-W32,71
BE224,2023-W33,62
BE224,2023-W34,66
BE224,2023-W35,84
BE224,2023-W36,74
BE224,2023-W37,70
BE224,2023-W38,64
BE224,2023-W39,73
BE224,2023-W40,85
BE224,2023-W41,78
BE224,2023-W42,73
BE224,2023-W43,65
BE224,2023-W44,64
BE224,2023-W45,57
