location,date,mort
BE100,2016-01-24,19
BE100,2016-01-25,30
BE100,2016-01-26,21
BE100,2016-01-27,29
BE100,2016-01-28,28
BE100,2016-01-29,30
BE100,2016-01-30,29
BE100,2016-01-31,28
BE100,2016-02-01,20
BE100,2016-02-02,26
BE100,2016-02-03,36
BE100,2016-02-04,26
BE100,2016-02-05,29
BE100,2016-02-06,24
BE100,2016-02-07,31
BE100,2016-02-08,17
BE100,2016-02-09,27
BE100,2016-02-10,20
BE100,2016-02-11,25
BE100,2016-02-12,28
BE100,2016-02-13,26
BE100,2016-02-14,24
BE100,2016-02-15,18
BE100,2016-02-16,31
BE100,2016-02-17,23
BE100,2016-02-18,22
BE100,2016-02-19,21
BE100,2016-02-20,24
BE100,2016-02-21,27
BE100,2016-02-22,22
BE100,2016-02-23,27
BE100,2016-02-24,27
BE100,2016-02-25,24
BE100,2016-02-26,37
BE100,2016-02-27,31
BE100,2016-02-28,24
BE100,2016-02-29,25
BE100,2016-03-01,28
BE100,2016-03-02,28
BE100,2016-03-03,30
BE100,2016-03-04,22
BE100,2016-03-05,26
BE100,2016-03-06,27
BE100,2016-03-07,26
BE100,2016-03-08,22
BE100,2016-03-09,31
BE100,2016-03-10,33
BE100,2016-03-11,35
BE100,2016-03-12,25
BE100,2016-03-13,22
BE100,2016-03-14,22
BE100,2016-03-15,29
BE100,2016-03-16,25
BE100,2016-03-17,33
BE100,2016-03-18,20
BE100,2016-03-19,33
BE100,2016-03-20,31
BE100,2016-03-21,27
BE100,2016-03-22,51
BE100,2016-03-23,30
BE100,2016-03-24,33
BE100,2016-03-25,43
BE100,2016-03-26,29
BE100,2016-03-27,19
BE100,2016-03-28,24
BE100,2016-03-29,27
BE100,2016-03-30,25
BE100,2016-03-31,28
BE100,2016-04-01,23
BE100,2016-04-02,27
BE100,2016-04-03,25
BE100,2016-04-04,26
BE100,2016-04-05,21
BE100,2016-04-06,22
BE100,2016-04-07,23
BE100,2016-04-08,14
BE100,2016-04-09,23
BE100,2016-04-10,28
BE100,2016-04-11,27
BE100,2016-04-12,31
BE100,2016-04-13,26
BE100,2016-04-14,26
BE100,2016-04-15,21
BE100,2016-04-16,22
BE100,2016-04-17,25
BE100,2016-04-18,25
BE100,2016-04-19,24
BE100,2016-04-20,30
BE100,2016-04-21,24
BE100,2016-04-22,25
BE100,2016-04-23,28
BE100,2016-04-24,23
BE100,2016-04-25,25
BE100,2016-04-26,23
BE100,2016-04-27,24
BE100,2016-04-28,19
BE100,2016-04-29,21
BE100,2016-04-30,21
BE100,2016-05-01,35
BE100,2016-05-02,27
BE100,2016-05-03,24
BE100,2016-05-04,27
BE100,2016-05-05,20
BE100,2016-05-06,28
BE100,2016-05-07,22
BE100,2016-05-08,29
BE100,2016-05-09,29
BE100,2016-05-10,29
BE100,2016-05-11,23
BE100,2016-05-12,21
BE100,2016-05-13,30
BE100,2016-05-14,29
BE100,2016-05-15,16
BE100,2016-05-16,21
BE100,2016-05-17,25
BE100,2016-05-18,25
BE100,2016-05-19,12
BE100,2016-05-20,22
BE100,2016-05-21,26
BE100,2016-05-22,15
BE100,2016-05-23,22
BE100,2016-05-24,17
BE100,2016-05-25,26
BE100,2016-05-26,18
BE100,2016-05-27,27
BE100,2016-05-28,34
BE100,2016-05-29,28
BE100,2016-05-30,17
BE100,2016-05-31,25
BE100,2016-06-01,25
BE100,2016-06-02,17
BE100,2016-06-03,26
BE100,2016-06-04,21
BE100,2016-06-05,20
BE100,2016-06-06,20
BE100,2016-06-07,21
BE100,2016-06-08,15
BE100,2016-06-09,14
BE100,2016-06-10,29
BE100,2016-06-11,21
BE100,2016-06-12,26
BE100,2016-06-13,25
BE100,2016-06-14,15
BE100,2016-06-15,25
BE100,2016-06-16,28
